id,name,capacity
00493,홍대입구역 6번출구,7
00494,신수동주민센터,5
00495,염리초등학교 앞,10
00497,합정동주민센터 앞,25
00498,연남동주민센터 앞,10
00500, 어린이대공원역 3번출구 앞,7
00501, 광진구의회 앞,30
00502, 뚝섬유원지역 1번출구 앞,33
00505, 자양사거리 광진아크로텔 앞,12
00506, 금호 어울림 아파트 앞,7
00508, 성수아카데미타워 앞,10
00510,뚝도아리수정수센터 버스정류소 옆,15
00511, 서울숲역 5번 출구 옆,16
00512, 뚝섬역 1번 출구 옆,15
00513, 뚝섬역 5번 출구 정류소 옆,13
00514, 성수사거리 버스정류장 앞,12
00515, 광양중학교 앞,15
00516, 광진메디칼 앞,10
00518, 청계천 박물관 앞,20
00519, 양지사거리,20
00520, 상왕십리역 4번 출구 앞,7
00521, 왕십리역 11번 출구 앞,14
00522, 금호역 1번출구 앞,9
00523, 옥수동성당 옆,7
00524, 래미안금호하이리버 아파트 102동 옆,10
00525, 한양대병원사거리,20
00526, 용답토속공원 앞,10
00529, 장한평역 8번 출구 앞,8
00530, 청계벽산아파트 앞,9
00533, 금남시장 교차로,7
00534, 금호사거리,10
00535, 응봉삼거리,11
00536, 행당역 2번출구 앞,8
00537, 한양대후문역 부근,10
00539, 군자교교차로,10
00540, 군자역 7번출구 베스트샵 앞,8
00542, 강변역 4번출구 뒤,19
00543, 구의공원(테크노마트 앞),20
00544, 광남중학교,20
00546, 잠실대교북단 교차로,8
00548, 자양나들목,20
00549, 아차산역 3번출구,10
00550, 서울시설공단 앞,20
00551, 구의삼성쉐르빌 앞,13
00552, 대림아크로리버 앞,9
00553, 중곡 성원아파트 앞,19
00555, 구의3동주민센터,9
00556, 달맞이공원,14
00557, 도선동 주민센터 앞,10
00558, 성동광진 교육지원청 앞,20
00559, 왕십리역 4번 출구 건너편,13
00560, 비전교회 앞,8
00561, 서울숲역 2번출구 앞,10
00563, 성동세무서 건너편,10
00564, 금호역 3번출구,10
00565, 옥수역 3번출구,19
00568,청계8가 사거리 B,14
00569, 응봉현대아파트 정류소,10
00571, 세종대학교 대양AI센터,20
00573, 구의문주차장 앞,10
00574, 아차산역4번출구,45
00575, 대원중고교 입구(대하빌딩),10
00576, 광나루역 3번 출구,10
00577, 광진청소년수련관,10
00578, 성동세무서 부근,8
00579, 마장역 4번출구,8
00582, 경일중학교 앞,10
00583, 청계천 생태교실 앞,20
00584, 광진광장 교통섬,20
00585, 성수2가1동 공영주차장 인근,9
00586, 마장동 주민센터,10
00587, 유니베라 앞,10
00588, 뚝섬 유원지역,20
00589, 성수역3번출구,8
00590, 건국대학교 (입학정보관),20
00591, 건국대학교 (행정관),5
00592, 건국대학교 학생회관,30
00593,자양중앙나들목,8
00594, 중랑물재생센터(서울새활용플라자),15
00600, 휘경2동 주민센터,10
00602, 장안동 사거리,10
00605, 신설동역8번출구,8
00606, 휘경공고앞,15
00607, 신이문역 2번출구,15
00608, 전농삼성아파트,10
00609, 제기2교,30
00610, 동대문중 교차로,10
00612, 시립동부병원 앞 사거리,20
00613, 신설동역 10번출구 앞,8
00614, 용두동 사거리,23
00615, 용두동 래미안허브리츠아파트 앞,25
00616,서울시립대 정문 앞 A,10
00617, 청솔우성아파트 앞,20
00621,전농초등학교 건너편,8
00622, 전농사거리 교통섬,15
00623,서울시립대 정문 앞 B,25
00624, 전농동 동아아파트 앞,10
00626, 군자교 서측 녹지대,17
00627, 장안동삼거리 교통섬,10
